subset_size,train_loss,eval_loss,accuracy,f1_score,report
1500,0.00110060208317,0.1249572252647744,0.9786028708133973,0.705495537811179,"{'CHAR': {'precision': 0.6581986143187067, 'recall': 0.6951219512195121, 'f1-score': 0.6761565836298932, 'support': 820}, 'LOC': {'precision': 0.8044444444444444, 'recall': 0.8379629629629629, 'f1-score': 0.820861678004535, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6883593033913841, 'recall': 0.7235067437379576, 'f1-score': 0.705495537811179, 'support': 1038}, 'macro avg': {'precision': 0.4875476862543837, 'recall': 0.5110283047274917, 'f1-score': 0.49900608721147605, 'support': 1038}, 'weighted avg': {'precision': 0.6873630671881884, 'recall': 0.7235067437379576, 'f1-score': 0.7049658198704163, 'support': 1038}}"
1700,0.0006702672129634,0.122246917999453,0.9810143540669856,0.726643598615917,"{'CHAR': {'precision': 0.7230971128608924, 'recall': 0.6719512195121952, 'f1-score': 0.6965865992414665, 'support': 820}, 'LOC': {'precision': 0.8251121076233184, 'recall': 0.8518518518518519, 'f1-score': 0.8382687927107063, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7461928934010152, 'recall': 0.708092485549133, 'f1-score': 0.726643598615917, 'support': 1038}, 'macro avg': {'precision': 0.5160697401614036, 'recall': 0.507934357121349, 'f1-score': 0.5116184639840576, 'support': 1038}, 'weighted avg': {'precision': 0.7429324159851335, 'recall': 0.708092485549133, 'f1-score': 0.7247274283270858, 'support': 1038}}"
1900,0.0005029844896246,0.1190815324998564,0.9800191387559808,0.7270181987867474,"{'CHAR': {'precision': 0.6782006920415224, 'recall': 0.7170731707317073, 'f1-score': 0.6970954356846473, 'support': 820}, 'LOC': {'precision': 0.8025210084033614, 'recall': 0.8842592592592593, 'f1-score': 0.8414096916299559, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7049773755656109, 'recall': 0.7504816955684007, 'f1-score': 0.7270181987867474, 'support': 1038}, 'macro avg': {'precision': 0.4935739001482946, 'recall': 0.5337774766636555, 'f1-score': 0.512835042438201, 'support': 1038}, 'weighted avg': {'precision': 0.7027640706061411, 'recall': 0.7504816955684007, 'f1-score': 0.7257829967759936, 'support': 1038}}"
2100,0.0006315654935668,0.1231344992915789,0.9782583732057416,0.706904435299497,"{'CHAR': {'precision': 0.6697038724373576, 'recall': 0.7170731707317073, 'f1-score': 0.6925795053003534, 'support': 820}, 'LOC': {'precision': 0.6826568265682657, 'recall': 0.8564814814814815, 'f1-score': 0.759753593429158, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6727589208006962, 'recall': 0.7447013487475915, 'f1-score': 0.706904435299497, 'support': 1038}, 'macro avg': {'precision': 0.4507868996685411, 'recall': 0.5245182174043963, 'f1-score': 0.4841110329098372, 'support': 1038}, 'weighted avg': {'precision': 0.6711089113076866, 'recall': 0.7447013487475915, 'f1-score': 0.7052234783496993, 'support': 1038}}"
3,0.4077673554420471,0.71662022140291,0.954755980861244,0.0018248175182481,"{'CHAR': {'precision': 0.023255813953488372, 'recall': 0.0012195121951219512, 'f1-score': 0.002317497103128621, 'support': 820}, 'LOC': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.017241379310344827, 'recall': 0.0009633911368015414, 'f1-score': 0.0018248175182481751, 'support': 1038}, 'macro avg': {'precision': 0.007751937984496124, 'recall': 0.0004065040650406504, 'f1-score': 0.000772499034376207, 'support': 1038}, 'weighted avg': {'precision': 0.018371644934354975, 'recall': 0.0009633911368015414, 'f1-score': 0.0018307780583482363, 'support': 1038}}"
4,0.1522999703884124,0.268367866343922,0.9570526315789474,0.0076701821668264,"{'CHAR': {'precision': 0.8, 'recall': 0.004878048780487805, 'f1-score': 0.009696969696969697, 'support': 820}, 'LOC': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8, 'recall': 0.0038535645472061657, 'f1-score': 0.007670182166826462, 'support': 1038}, 'macro avg': {'precision': 0.26666666666666666, 'recall': 0.0016260162601626016, 'f1-score': 0.0032323232323232323, 'support': 1038}, 'weighted avg': {'precision': 0.6319845857418112, 'recall': 0.0038535645472061657, 'f1-score': 0.007660419221112862, 'support': 1038}}"
6,0.0670825839042663,0.1971156630251142,0.9590813397129186,0.1101083032490974,"{'CHAR': {'precision': 0.8714285714285714, 'recall': 0.07439024390243902, 'f1-score': 0.13707865168539327, 'support': 820}, 'LOC': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8714285714285714, 'recall': 0.05876685934489403, 'f1-score': 0.11010830324909747, 'support': 1038}, 'macro avg': {'precision': 0.2904761904761905, 'recall': 0.024796747967479674, 'f1-score': 0.04569288389513109, 'support': 1038}, 'weighted avg': {'precision': 0.68841178089733, 'recall': 0.05876685934489403, 'f1-score': 0.10828949362429911, 'support': 1038}}"
2500,0.0107261615892639,0.0872776110139158,0.9797511961722488,0.7053140096618359,"{'CHAR': {'precision': 0.672514619883041, 'recall': 0.7012195121951219, 'f1-score': 0.6865671641791045, 'support': 820}, 'LOC': {'precision': 0.8757062146892656, 'recall': 0.7175925925925926, 'f1-score': 0.7888040712468194, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7073643410852714, 'recall': 0.7032755298651252, 'f1-score': 0.7053140096618359, 'support': 1038}, 'macro avg': {'precision': 0.5160736115241021, 'recall': 0.4729373682625715, 'f1-score': 0.4917904118086413, 'support': 1038}, 'weighted avg': {'precision': 0.713501474640631, 'recall': 0.7032755298651252, 'f1-score': 0.7065190308441027, 'support': 1038}}"
2800,0.0020441818957227,0.108077298844647,0.982086124401914,0.7376387487386479,"{'CHAR': {'precision': 0.7805907172995781, 'recall': 0.676829268292683, 'f1-score': 0.7250163291966036, 'support': 820}, 'LOC': {'precision': 0.7553648068669528, 'recall': 0.8148148148148148, 'f1-score': 0.7839643652561248, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.774364406779661, 'recall': 0.7042389210019268, 'f1-score': 0.7376387487386479, 'support': 1038}, 'macro avg': {'precision': 0.511985174722177, 'recall': 0.49721469436916593, 'f1-score': 0.5029935648175762, 'support': 1038}, 'weighted avg': {'precision': 0.7738373665403814, 'recall': 0.7042389210019268, 'f1-score': 0.7358860239273006, 'support': 1038}}"
3200,0.0013090963975992,0.1016911682362357,0.9830813397129188,0.7549019607843137,"{'CHAR': {'precision': 0.7547649301143583, 'recall': 0.724390243902439, 'f1-score': 0.7392657125077785, 'support': 820}, 'LOC': {'precision': 0.8186046511627907, 'recall': 0.8148148148148148, 'f1-score': 0.8167053364269142, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7684630738522954, 'recall': 0.7418111753371869, 'f1-score': 0.7549019607843137, 'support': 1038}, 'macro avg': {'precision': 0.524456527092383, 'recall': 0.5130683529057513, 'f1-score': 0.5186570163115642, 'support': 1038}, 'weighted avg': {'precision': 0.7665952286560083, 'recall': 0.7418111753371869, 'f1-score': 0.7539559122587591, 'support': 1038}}"
