subset_size,label,precision,recall,f1-score,support
700,micro avg,0.6476868327402135,0.7013487475915221,0.673450508788159,1038
700,macro avg,0.4836636178861788,0.4516636555254441,0.4616991917997239,1038
700,weighted avg,0.6601652450773063,0.7013487475915221,0.6746283452347175,1038
900,CHAR,0.6344195519348269,0.7597560975609756,0.6914539400665927,820
900,LOC,0.8152173913043478,0.6944444444444444,0.7499999999999999,216
900,ORG,0.0,0.0,0.0,2
900,micro avg,0.6629502572898799,0.7447013487475915,0.7014519056261344,1038
900,macro avg,0.4832123144130582,0.4847335140018067,0.4804846466888642,1038
900,weighted avg,0.6708198353644482,0.7447013487475915,0.7023046540025105,1038
1100,CHAR,0.677277716794731,0.7524390243902439,0.7128827267475448,820
1100,LOC,0.8725490196078431,0.8240740740740741,0.8476190476190476,216
1100,ORG,0.0,0.0,0.0,2
1100,micro avg,0.7130044843049327,0.7658959537572254,0.7385044124477473,1038
1100,macro avg,0.5166089121341914,0.5255043661547726,0.5201672581221976,1038
1100,weighted avg,0.7166072408545026,0.7658959537572254,0.7395467728503864,1038
1300,CHAR,0.7141119221411192,0.7158536585365853,0.7149817295980511,820
1300,LOC,0.8490566037735849,0.8333333333333334,0.8411214953271028,216
1300,ORG,0.0,0.0,0.0,2
1300,micro avg,0.741779497098646,0.7389210019267822,0.7403474903474903,1038
1300,macro avg,0.5210561753049013,0.5163956639566396,0.5187010749750512,1038
1300,weighted avg,0.7408169581607054,0.7389210019267822,0.7398528528526552,1038
1500,CHAR,0.673055242390079,0.7280487804878049,0.6994727592267136,820
1500,LOC,0.8251121076233184,0.8518518518518519,0.8382687927107063,216
1500,ORG,0.0,0.0,0.0,2
1500,micro avg,0.7036036036036036,0.7524084778420038,0.7271880819366854,1038
1500,macro avg,0.4993891166711324,0.5266335441132189,0.5125805173124732,1038
1500,weighted avg,0.7034003025110804,0.7524084778420038,0.727007439105412,1038
1700,CHAR,0.7168894289185905,0.7195121951219512,0.7181984175289106,820
1700,LOC,0.8310502283105022,0.8425925925925926,0.8367816091954022,216
1700,ORG,0.0,0.0,0.0,2
1700,micro avg,0.7408829174664108,0.74373795761079,0.7423076923076922,1038
1700,macro avg,0.515979885743031,0.5207015959048479,0.518326675574771,1038
1700,weighted avg,0.7392641435725557,0.74373795761079,0.7414908766473155,1038
1900,CHAR,0.7564766839378239,0.7121951219512195,0.7336683417085428,820
1900,LOC,0.7991266375545851,0.8472222222222222,0.8224719101123595,216
1900,ORG,0.0,0.0,0.0,2
1900,micro avg,0.7662337662337663,0.7389210019267822,0.7523295733202551,1038
1900,macro avg,0.5185344404974697,0.5198057813911472,0.5187134172736342,1038
1900,weighted avg,0.7638942529294854,0.7389210019267822,0.7507340778278178,1038
2100,CHAR,0.7581967213114754,0.676829268292683,0.7152061855670104,820
2100,LOC,0.7191011235955056,0.8888888888888888,0.7950310559006211,216
2100,ORG,0.0,0.0,0.0,2
2100,micro avg,0.7477477477477478,0.7196531791907514,0.7334315169366715,1038
2100,macro avg,0.4924326149689936,0.5219060523938572,0.5034124138225439,1038
2100,weighted avg,0.7486003412062032,0.7196531791907514,0.7304390946430469,1038
3,CHAR,0.023255813953488372,0.0012195121951219512,0.002317497103128621,820
3,LOC,0.0,0.0,0.0,216
3,ORG,0.0,0.0,0.0,2
3,micro avg,0.017241379310344827,0.0009633911368015414,0.0018248175182481751,1038
3,macro avg,0.007751937984496124,0.0004065040650406504,0.000772499034376207,1038
3,weighted avg,0.018371644934354975,0.0009633911368015414,0.0018307780583482363,1038
4,CHAR,0.8,0.004878048780487805,0.009696969696969697,820
4,LOC,0.0,0.0,0.0,216
4,ORG,0.0,0.0,0.0,2
4,micro avg,0.8,0.0038535645472061657,0.007670182166826462,1038
4,macro avg,0.26666666666666666,0.0016260162601626016,0.0032323232323232323,1038
4,weighted avg,0.6319845857418112,0.0038535645472061657,0.007660419221112862,1038
6,CHAR,0.8714285714285714,0.07439024390243902,0.13707865168539327,820
6,LOC,0.0,0.0,0.0,216
6,ORG,0.0,0.0,0.0,2
6,micro avg,0.8714285714285714,0.05876685934489403,0.11010830324909747,1038
6,macro avg,0.2904761904761905,0.024796747967479674,0.04569288389513109,1038
6,weighted avg,0.68841178089733,0.05876685934489403,0.10828949362429911,1038
2500,CHAR,0.672514619883041,0.7012195121951219,0.6865671641791045,820
2500,LOC,0.8757062146892656,0.7175925925925926,0.7888040712468194,216
2500,ORG,0.0,0.0,0.0,2
2500,micro avg,0.7073643410852714,0.7032755298651252,0.7053140096618359,1038
2500,macro avg,0.5160736115241021,0.4729373682625715,0.4917904118086413,1038
2500,weighted avg,0.713501474640631,0.7032755298651252,0.7065190308441027,1038
2800,CHAR,0.7805907172995781,0.676829268292683,0.7250163291966036,820
2800,LOC,0.7553648068669528,0.8148148148148148,0.7839643652561248,216
2800,ORG,0.0,0.0,0.0,2
2800,micro avg,0.774364406779661,0.7042389210019268,0.7376387487386479,1038
2800,macro avg,0.511985174722177,0.49721469436916593,0.5029935648175762,1038
2800,weighted avg,0.7738373665403814,0.7042389210019268,0.7358860239273006,1038
3200,CHAR,0.7547649301143583,0.724390243902439,0.7392657125077785,820
3200,LOC,0.8186046511627907,0.8148148148148148,0.8167053364269142,216
3200,ORG,0.0,0.0,0.0,2
3200,micro avg,0.7684630738522954,0.7418111753371869,0.7549019607843137,1038
3200,macro avg,0.524456527092383,0.5130683529057513,0.5186570163115642,1038
3200,weighted avg,0.7665952286560083,0.7418111753371869,0.7539559122587591,1038
3600,CHAR,0.7628205128205128,0.725609756097561,0.74375,820
